Date,Open,High,Low,Close,Adj Close,Volume
2014-04-22,1113.650024,1124.469971,1109.000000,1110.150024,950.654297,128950
2014-04-23,1112.550049,1120.000000,1100.969971,1107.469971,948.359314,265354
2014-04-24,1107.469971,1107.469971,1107.469971,1107.469971,948.359314,0
2014-04-25,1107.000000,1117.349976,1097.500000,1101.119995,942.921814,107470
2014-04-28,1111.500000,1111.500000,1090.030029,1095.619995,938.211731,101902
2014-04-29,1096.349976,1102.800049,1090.000000,1096.750000,939.179504,89570
2014-04-30,1097.000000,1103.469971,1090.949951,1094.699951,937.423767,106414
2014-05-02,1097.000000,1109.599976,1093.500000,1104.430054,945.756104,104042
2014-05-05,1105.000000,1114.500000,1102.500000,1106.949951,947.913940,79698
2014-05-06,1110.000000,1110.000000,1095.550049,1099.469971,941.508789,59410
2014-05-07,1095.500000,1101.349976,1071.000000,1083.180054,927.559082,522036
2014-05-08,1082.500000,1090.500000,1075.449951,1082.680054,927.130798,317994
2014-05-09,1080.000000,1092.000000,1075.949951,1080.599976,925.349670,255318
2014-05-12,1080.000000,1083.500000,1062.750000,1079.849976,924.707703,606398
2014-05-13,1087.500000,1118.969971,1085.000000,1105.319946,946.518127,230762
2014-05-14,1105.000000,1118.750000,1101.719971,1107.380005,948.282104,145458
2014-05-15,1108.500000,1108.880005,1086.619995,1096.719971,939.153748,525126
2014-05-16,1096.500000,1126.819946,1050.530029,1078.780029,923.791077,1208144
2014-05-19,1080.000000,1080.000000,1000.250000,1017.349976,871.186951,605858
2014-05-20,1017.000000,1044.500000,1013.080017,1031.530029,883.329712,176682
2014-05-21,1032.500000,1043.900024,1028.000000,1039.969971,890.557068,127912
2014-05-22,1045.000000,1059.119995,1037.000000,1054.650024,903.128113,153470
2014-05-23,1060.500000,1073.930054,1050.000000,1063.699951,910.877930,139576
2014-05-26,1067.500000,1085.000000,1066.500000,1076.819946,922.112732,131308
2014-05-27,1078.000000,1091.849976,1058.030029,1065.219971,912.179382,120378
2014-05-28,1066.000000,1080.000000,1061.219971,1074.930054,920.494446,371152
2014-05-29,1077.500000,1088.500000,1067.500000,1079.550049,924.450623,90774
2014-05-30,1080.000000,1084.569946,1066.030029,1072.099976,918.070801,66916
2014-06-02,1073.500000,1077.000000,1058.500000,1064.949951,911.948181,69876
2014-06-03,1065.000000,1069.250000,1053.000000,1065.150024,912.119446,247052
2014-06-04,1066.000000,1067.500000,1040.000000,1044.699951,894.607300,164358
2014-06-05,1045.949951,1056.199951,1034.500000,1052.780029,901.526794,175906
2014-06-06,1055.000000,1055.000000,1031.250000,1042.030029,909.601135,308078
2014-06-09,1042.500000,1059.500000,1040.000000,1057.619995,923.209839,191228
2014-06-10,1059.949951,1080.000000,1056.969971,1078.550049,941.480042,148142
2014-06-11,1081.500000,1105.930054,1070.199951,1102.619995,962.491089,291390
2014-06-12,1124.050049,1125.250000,1092.300049,1116.050049,974.214111,185886
2014-06-13,1117.500000,1117.880005,1094.000000,1107.349976,966.619751,232952
2014-06-16,1107.500000,1137.050049,1107.500000,1134.280029,990.127441,211418
2014-06-17,1140.530029,1148.430054,1135.000000,1139.069946,994.308533,106036
2014-06-18,1144.000000,1144.050049,1110.050049,1112.719971,971.307190,184044
2014-06-19,1113.500000,1142.000000,1105.500000,1137.550049,992.981812,587752
2014-06-20,1140.000000,1146.849976,1131.000000,1143.250000,997.957153,111902
2014-06-23,1143.000000,1149.500000,1125.030029,1132.380005,988.468933,95824
2014-06-24,1132.380005,1157.500000,1128.430054,1152.150024,1005.726074,119980
2014-06-25,1153.500000,1159.000000,1147.500000,1154.949951,1008.170288,70798
2014-06-26,1152.500000,1171.500000,1145.599976,1154.699951,1007.952087,113326
2014-06-27,1160.000000,1202.469971,1158.400024,1199.199951,1046.796753,350162
2014-06-30,1201.000000,1213.500000,1188.750000,1209.719971,1055.979858,151264
2014-07-01,1207.500000,1211.500000,1191.550049,1195.199951,1043.305054,78442
2014-07-02,1197.500000,1206.349976,1192.500000,1198.530029,1046.212036,84686
2014-07-03,1203.500000,1215.000000,1196.500000,1208.880005,1055.246704,17406
2014-07-04,1208.880005,1213.030029,1200.969971,1204.900024,1051.772339,49028
